Film,Year,IMDb_Rating (Fan Rating),RT Rating (Critic)
Wings,1927,7.5,9.4
The Broadway Melody,1929,5.6,4.2
All Quiet on the Western Front,1930,8.1,9.8
Cimarron,1931,5.9,5.2
Grand Hotel,1932,7.3,8.5
Cavalcade,1933,5.8,6.2
It Happened One Night,1934,8.1,9.8
Mutiny on the Bounty,1935,7.6,9.6
The Great Ziegfeld,1936,6.7,7.1
The Life of Emile Zola,1937,7.2,9.2
You Can't Take It With You,1938,7.8,9.3
Gone with the Wind,1939,8.2,9.8
Rebecca,1940,8.1,9.8
How Green Was My Valley,1941,7.7,9.4
Mrs. Miniver,1942,7.6,8.4
Casablanca,1943,8.5,9.8
Going My Way,1944,7.1,9.1
The Lost Weekend,1945,7.9,9.8
The Best Years of Our Lives,1946,8.1,9.7
Gentleman's Agreement,1947,7.3,9.7
Hamlet,1948,7.6,9.7
All the King's Men,1949,7.4,9.8
All About Eve,1950,8.2,9.8
An American in Paris,1951,7.1,9.6
The Greatest Show on Earth,1952,6.5,4.4
From Here to Eternity,1953,7.6,9.5
On the Waterfront,1954,8.1,9.8
Marty,1955,7.7,9.5
Around the World in 80 Days,1956,6.8,9.3
The Bridge on the River Kwai,1957,8.1,9.8
Gigi,1958,6.7,9.1
Ben-Hur,1959,8.1,9.0
The Apartment,1960,8.3,9.3
West Side Story,1961,7.6,9.2
Lawrence of Arabia,1962,8.3,9.8
Tom Jones,1963,6.5,7.6
My Fair Lady,1964,7.7,9.6
The Sound of Music,1965,8.1,9.1
A Man for All Seasons,1966,7.7,9.2
In the Heat of the Night,1967,7.9,9.4
Oliver!,1968,7.4,9.2
Midnight Cowboy,1969,7.8,9.8
Patton,1970,7.9,9.4
The French Connection,1971,7.7,9.8
The Godfather,1972,9.2,9.8
The Sting,1973,8.3,9.4
The Godfather Part II,1974,9.0,9.8
One Flew Over the Cuckoo's Nest,1975,8.7,9.8
Rocky,1976,8.1,9.4
Annie Hall,1977,8.0,9.7
The Deer Hunter,1978,8.1,9.4
Kramer vs. Kramer,1979,7.8,9.4
Ordinary People,1980,7.7,9.5
Chariots of Fire,1981,7.2,9.3
Gandhi,1982,8.0,8.5
Terms of Endearment,1983,7.4,9.1
Amadeus,1984,8.4,9.7
Out of Africa,1985,7.1,9.1
Platoon,1986,8.1,9.4
The Last Emperor,1987,7.7,9.4
Rain Man,1988,8.0,8.7
Driving Miss Daisy,1989,7.3,8.2
Dances with Wolves,1990,8.0,9.0
The Silence of the Lambs,1991,8.6,9.5
Unforgiven,1992,8.2,9.6
Schindler's List,1993,9.0,9.8
Forrest Gump,1994,8.8,9.5
Braveheart,1995,8.3,9.2
The English Patient,1996,7.4,8.5
Titanic,1997,7.9,8.8
Shakespeare in Love,1998,7.1,9.2
American Beauty,1999,8.3,8.4
Gladiator,2000,8.5,8.5
A Beautiful Mind,2001,8.2,7.4
Chicago,2002,7.2,8.2
The Lord of the Rings: The Return of the King,2003,9.0,9.3
Million Dollar Baby,2004,8.1,9.2
Crash,2005,7.7,7.3
The Departed,2006,8.5,9.1
No Country for Old Men,2007,8.2,9.3
Slumdog Millionaire,2008,8.0,9.4
The Hurt Locker,2009,7.5,9.7
The King's Speech,2010,8.0,9.3
The Artist,2011,7.9,9.5
Argo,2012,7.7,9.6
12 Years a Slave,2013,8.1,9.6
Birdman,2014,7.7,9.1
Spotlight,2015,8.1,9.6
Moonlight,2016,7.4,9.8
The Shape of Water,2017,7.3,9.2
Green Book,2018,8.2,7.7
Parasite,2019,8.5,9.9
Nomadland,2020,7.3,9.3
CODA,2021,8.0,9.4
Everything Everywhere All at Once,2022,7.8,9.3
Oppenheimer,2023,8.4,9.3
Anora,2024,7.4,9.2
One Battle After Another,2025,7.7,9.2
